,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
430,AMSJ.J,2.95,1998-08-03T00:00:00Z,,
431,AMSJ.J,0.08,1998-12-31T00:00:00Z,5000152801,
432,AMSJ.J,0.07,1998-12-31T00:00:00Z,,
433,AMSJ.J,0.02,1998-12-31T00:00:00Z,4298409344,
434,AMSJ.J,0.0289,1997-03-31T00:00:00Z,,
435,AMSJ.J,0.01,1998-03-31T00:00:00Z,,
436,AMSJ.J,0.0,1997-09-30T00:00:00Z,,
437,AMSJ.J,0.0,1997-12-31T00:00:00Z,,
438,AMSJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
439,AMSJ.J,0.0,1998-12-31T00:00:00Z,,
440,AMSJ.J,0.0,1998-03-31T00:00:00Z,,
441,AMSJ.J,1.3965,1997-05-19T00:00:00Z,4296948644,
442,AMSJ.J,0.05,1997-12-31T00:00:00Z,,
443,AMSJ.J,0.04,1997-12-31T00:00:00Z,,
444,AMSJ.J,0.0289,1997-03-31T00:00:00Z,,
445,AMSJ.J,0.0244,1997-03-31T00:00:00Z,5000001140,
446,AMSJ.J,0.02,1997-06-30T00:00:00Z,4298409344,
447,AMSJ.J,0.0,1997-09-30T00:00:00Z,,
448,AMSJ.J,0.0,1997-12-31T00:00:00Z,,
449,AMSJ.J,0.0,1997-09-30T00:00:00Z,5000152801,
450,AMSJ.J,,,,
451,AMSJ.J,,,,
452,AMSJ.J,,,,
453,AMSJ.J,,,,
454,AMSJ.J,,,,
455,ANGJ.J,24.39,1998-08-03T00:00:00Z,5000854298,South Africa
456,ANGJ.J,16.7664,1998-08-03T00:00:00Z,4295896494,
457,ANGJ.J,1.7218,1998-08-03T00:00:00Z,4297902883,
458,ANGJ.J,1.6852,1998-08-03T00:00:00Z,4295888430,
459,ANGJ.J,1.0747,1998-08-03T00:00:00Z,,
460,ANGJ.J,0.3926,1998-12-31T00:00:00Z,,
461,ANGJ.J,0.1443,1998-12-31T00:00:00Z,,
462,ANGJ.J,0.1167,1998-12-31T00:00:00Z,,
463,ANGJ.J,0.0068,1998-12-31T00:00:00Z,4298409344,
464,ANGJ.J,0.0041,1998-12-31T00:00:00Z,,
465,ANGJ.J,0.0029,1998-12-31T00:00:00Z,,
466,ANGJ.J,0.0027,1998-06-30T00:00:00Z,5001231143,
467,ANGJ.J,0.0016,1998-12-31T00:00:00Z,5000052202,
468,ANGJ.J,0.0059,1997-06-30T00:00:00Z,,
469,ANGJ.J,0.0001,1998-12-31T00:00:00Z,5000050125,
470,ANGJ.J,0.0,1998-12-31T00:00:00Z,5000036827,
471,ANGJ.J,0.0,1998-06-30T00:00:00Z,5000036022,
472,ANGJ.J,0.0,1997-12-31T00:00:00Z,5000014523,
473,ANGJ.J,0.0,1998-03-31T00:00:00Z,,
474,ANGJ.J,0.1105,1997-12-31T00:00:00Z,,
475,ANGJ.J,0.0942,1997-12-31T00:00:00Z,,
476,ANGJ.J,0.0461,1997-06-30T00:00:00Z,4298409344,
477,ANGJ.J,0.0135,1997-12-31T00:00:00Z,5001231143,
478,ANGJ.J,0.0059,1997-06-30T00:00:00Z,,
479,ANGJ.J,0.0,1997-12-31T00:00:00Z,5000014523,
480,ANGJ.J,,,,
481,ANGJ.J,,,,
482,ANGJ.J,,,,
483,ANGJ.J,,,,
484,ANGJ.J,,,,
485,ANGJ.J,,,,
486,ANGJ.J,,,,
487,ANGJ.J,,,,
488,ANGJ.J,,,,
489,ANGJ.J,,,,
490,ANGJ.J,,,,
491,ANGJ.J,,,,
492,ANGJ.J,,,,
493,ETOJ.J,,,,South Africa
494,AONJn.J,0.0,1997-09-30T00:00:00Z,,South Africa
495,AONJn.J,0.0,1997-09-30T00:00:00Z,,
496,ARDOVA.LG,,,,Nigeria
497,APNJ.J,0.0,1997-06-30T00:00:00Z,,South Africa
498,APNJ.J,0.0,1997-06-30T00:00:00Z,,
499,ARBICO.LG,,,,
500,ARIS.ZI,,,,Zimbabwe
501,ARIJ.J,0.15,1998-12-31T00:00:00Z,,South Africa
502,ARIJ.J,0.253,1998-03-31T00:00:00Z,,
503,ARIJ.J,0.2478,1998-06-30T00:00:00Z,,
504,ARIJ.J,0.0182,1998-12-31T00:00:00Z,4298409344,
505,ARIJ.J,0.0059,1998-06-30T00:00:00Z,5001231143,
506,ARIJ.J,0.0,1998-12-31T00:00:00Z,,
507,ARIJ.J,0.0,1997-06-30T00:00:00Z,,
508,ARIJ.J,0.0267,1997-12-31T00:00:00Z,5001231143,
509,ARIJ.J,0.0033,1997-12-31T00:00:00Z,,
510,ARIJ.J,0.0,1997-06-30T00:00:00Z,,
511,ARIJ.J,,,,
512,ARIJ.J,,,,
513,ARIJ.J,,,,
514,ARIJ.J,,,,
515,ARM.NR,,,,Kenya
516,ARLJ.J,,,,South Africa
517,ABGJ.J,19.3,1998-08-03T00:00:00Z,5000854298,South Africa
518,ABGJ.J,9.34,1998-08-03T00:00:00Z,4297902883,
519,ABGJ.J,4.44,1998-08-03T00:00:00Z,4295889121,
520,ABGJ.J,0.15,1998-12-31T00:00:00Z,5000051932,
521,ABGJ.J,0.14,1998-12-31T00:00:00Z,,
522,ABGJ.J,0.06,1998-03-31T00:00:00Z,,
523,ABGJ.J,0.04,1998-12-31T00:00:00Z,,
524,ABGJ.J,0.0094,1998-12-31T00:00:00Z,4296293277,
525,ABGJ.J,0.01,1998-12-31T00:00:00Z,5000071982,
526,ABGJ.J,0.01,1998-12-31T00:00:00Z,5000052202,
527,ABGJ.J,0.0039,1998-12-31T00:00:00Z,,
528,ABGJ.J,0.0031,1998-06-30T00:00:00Z,,
529,ABGJ.J,0.0016,1998-12-31T00:00:00Z,5000036827,
530,ABGJ.J,0.0009,1998-12-31T00:00:00Z,,
531,ABGJ.J,0.0,1997-09-30T00:00:00Z,,
532,ABGJ.J,0.0,1998-12-31T00:00:00Z,,
533,ABGJ.J,0.0,1997-06-30T00:00:00Z,,
534,ABGJ.J,0.0,1998-12-31T00:00:00Z,,
535,ABGJ.J,8.91,1997-12-01T00:00:00Z,4297902883,
536,ABGJ.J,4.61,1997-11-05T00:00:00Z,4295889121,
537,ABGJ.J,0.11,1997-12-31T00:00:00Z,5000051932,
538,ABGJ.J,0.06,1997-12-31T00:00:00Z,,
539,ABGJ.J,0.05,1997-12-31T00:00:00Z,,
540,ABGJ.J,0.01,1997-12-31T00:00:00Z,5000071982,
541,ABGJ.J,0.0048,1997-12-31T00:00:00Z,4296293277,
542,ABGJ.J,0.0043,1997-12-31T00:00:00Z,,
543,ABGJ.J,0.0,1997-09-30T00:00:00Z,,
544,ABGJ.J,0.0,1997-06-30T00:00:00Z,,
545,ABGJ.J,,,,
546,ABGJ.J,,,,
547,ABGJ.J,,,,
548,ABGJ.J,,,,
549,ABGJ.J,,,,
550,ABGJ.J,,,,
551,ABGJ.J,,,,
552,ABGJ.J,,,,
553,ENXJ.J,,,,South Africa
554,AELJ.J,39.8593,1998-08-03T00:00:00Z,5019887617,South Africa
555,AELJ.J,11.9838,1998-08-03T00:00:00Z,5000854298,
556,AELJ.J,6.022,1998-08-03T00:00:00Z,4297902883,
557,AELJ.J,5.3103,1998-08-03T00:00:00Z,4295896494,
558,AELJ.J,1.3727,1998-08-03T00:00:00Z,5000059446,
559,AELJ.J,0.0,1998-09-30T00:00:00Z,,
560,AELJ.J,40.0719,1997-01-31T00:00:00Z,5019887617,
561,AELJ.J,,,,
562,AELJ.J,,,,
563,AELJ.J,,,,
564,AELJ.J,,,,
565,AELJ.J,,,,
566,AVIJ.J,12.1656,1998-08-03T00:00:00Z,5000854298,South Africa
567,AVIJ.J,6.86,1998-08-03T00:00:00Z,,
568,AVIJ.J,2.5345,1998-08-03T00:00:00Z,4297902883,
569,AVIJ.J,0.0046,1998-12-31T00:00:00Z,,
570,AVIJ.J,0.0036,1998-06-30T00:00:00Z,,
571,AVIJ.J,0.0,1998-06-30T00:00:00Z,,
572,AVIJ.J,0.0,1998-12-31T00:00:00Z,5000052202,
573,AVIJ.J,0.2953,1997-12-31T00:00:00Z,,
574,AVIJ.J,0.0047,1997-12-31T00:00:00Z,,
575,AVIJ.J,0.0017,1997-12-31T00:00:00Z,,
576,AVIJ.J,,,,
577,AVIJ.J,,,,
578,AVIJ.J,,,,
579,AVIJ.J,,,,
580,AVONCRO.LG,,,,Nigeria
581,AYRTN.GH,,,,South Africa
582,BAMB.NR,,,,Switzerland
583,FCA.ZI,,,,Malawi
584,ABSA.BT,0.0,1998-12-31T00:00:00Z,5000706029,South Africa
585,ABSA.BT,0.002,1997-06-30T00:00:00Z,5000706029,
586,BATJ.J,1.1318,1998-12-31T00:00:00Z,,Malta
587,BATJ.J,0.0041,1998-12-31T00:00:00Z,,
588,BATJ.J,,,,
589,BATJ.J,,,,
590,BAT.NR,,,,United Kingdom
591,BAT.ZI,,,,United Kingdom
592,BAWJ.J,30.7723,1998-08-17T00:00:00Z,5000854298,South Africa
593,BAWJ.J,11.0695,1998-08-17T00:00:00Z,4297902883,
594,BAWJ.J,1.3041,1998-08-17T00:00:00Z,5001196246,
595,BAWJ.J,0.2825,1998-03-31T00:00:00Z,,
596,BAWJ.J,0.2733,1998-12-31T00:00:00Z,5000051932,
597,BAWJ.J,0.1401,1998-12-31T00:00:00Z,,
598,BAWJ.J,0.0156,1998-12-31T00:00:00Z,5000071982,
599,BAWJ.J,0.0037,1998-09-30T00:00:00Z,4296293277,
600,BAWJ.J,0.0035,1998-12-31T00:00:00Z,,
601,BAWJ.J,0.0033,1998-06-30T00:00:00Z,,
602,BAWJ.J,0.0031,1998-12-31T00:00:00Z,,
603,BAWJ.J,0.0,1998-09-30T00:00:00Z,4298409344,
604,BAWJ.J,0.0,1998-06-30T00:00:00Z,,
605,BAWJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
606,BAWJ.J,0.0,1998-12-31T00:00:00Z,5000064072,
