,Instrument,Exchange Name,Return On Assets - Actual,Company Name,Country of Headquarters,Date,Revenue from Business Activities - Total,Exchange Rate,Financial Period Absolute,Period End Date,Currency,Reported Currency,Organization Ultimate Parent,Country of Headquarters,NAICS Sector Name,NAICS Sector Code,NAICS Subsector Name,NAICS Subsector Code,SIC Industry Name,SIC Industry Group Name,Ultimate Parent Id,Price Close,Earnings Per Share - Mean,Net Income after Tax,Company Market Capitalization,P/E (Daily Time Series Ratio)
23222,ARTJ.J,,,,,2020-03-31T00:00:00Z,96844261.84,0.056053183,FY2020,3/31/20,USD,ZAR,,,,,,,,,,0.466373453,,5488391.386,28301229.39,3.473613217
23223,ARTJ.J,,,,,2021-03-31T00:00:00Z,133136491.4,0.067720855,FY2021,3/31/21,USD,ZAR,,,,,,,,,,0.856047674,,8942877.459,49959083.48,4.804638283
23224,ARTJ.J,,,,,2022-03-31T00:00:00Z,166580068.2,0.068475328,FY2022,3/31/22,USD,ZAR,,,,,,,,,,0.90564795,,13152467.17,50813761.9,4.220241814
23225,GMLJ.J,JOHANNESBURG STOCK EXCHANGE,,Gemfields Group Ltd,Guernsey,1996-12-31T00:00:00Z,,,FY1996,12/31/96,USD,,Gemfields Group Ltd,Guernsey,"Mining, Quarrying, and Oil and Gas Extraction",21,Mining (except Oil and Gas),212,,,4298053737,,,,,
23226,GMLJ.J,,,,,1997-12-31T00:00:00Z,,,FY1997,12/31/97,USD,,,,,,,,,,,,,,,
23227,GMLJ.J,,,,,1998-12-31T00:00:00Z,,,FY1998,12/31/98,USD,,,,,,,,,,,,,,,
23228,GMLJ.J,,,,,1999-12-31T00:00:00Z,,,FY1999,12/31/99,USD,,,,,,,,,,,,,,,
23229,GMLJ.J,,,,,2000-12-31T00:00:00Z,,,FY2000,12/31/00,USD,,,,,,,,,,,,,,,
23230,GMLJ.J,,,,,2001-12-31T00:00:00Z,,,FY2001,12/31/01,USD,,,,,,,,,,,,,,,
23231,GMLJ.J,,,,,2002-12-31T00:00:00Z,,,FY2002,12/31/02,USD,,,,,,,,,,,,,,,
23232,GMLJ.J,,,,,2003-12-31T00:00:00Z,,,FY2003,12/31/03,USD,,,,,,,,,,,,,,,
23233,GMLJ.J,,,,,2004-12-31T00:00:00Z,,,FY2004,12/31/04,USD,,,,,,,,,,,,,,,
23234,GMLJ.J,,,,,2005-12-31T00:00:00Z,,,FY2005,12/31/05,USD,,,,,,,,,,,,,,,
23235,GMLJ.J,,,,,2006-12-31T00:00:00Z,,,FY2006,12/31/06,USD,,,,,,,,,,,,,,,
23236,GMLJ.J,,,,,2007-12-31T00:00:00Z,,,FY2007,12/31/07,USD,,,,,,,,,,,0.40616416,,,115251240.4,
23237,GMLJ.J,,,,,2008-12-31T00:00:00Z,-37825567,1,FY2008,12/31/08,USD,USD,,,,,,,,,,0.564790441,,-43546830,289907192.1,
23238,GMLJ.J,,,,,2009-12-31T00:00:00Z,66714918,1,FY2009,12/31/09,USD,USD,,,,,,,,,,0.532033731,,62103859,273093157.2,6.373187955
23239,GMLJ.J,,,,,2010-12-31T00:00:00Z,195913238,1,FY2010,12/31/10,USD,USD,,,,,,,,,,0.346791965,,116322392,178008474.6,2.861319843
23240,GMLJ.J,,,,,2011-12-31T00:00:00Z,-137560266,1,FY2011,12/31/11,USD,USD,,,,,,,,,,0.243875585,,-68202921,185455829.9,
23241,GMLJ.J,,,,,2012-12-31T00:00:00Z,-33302702,1,FY2012,12/31/12,USD,USD,,,,,,,,,,0.257715258,,-40168249,194634064.3,
23242,GMLJ.J,,,,,2013-12-31T00:00:00Z,20975873,1,FY2013,12/31/13,USD,USD,,,,,,,,,,0.337131887,,14912660,256372830.1,1.317024324
23243,GMLJ.J,,,,,2014-12-31T00:00:00Z,61593000,1,FY2014,12/31/14,USD,USD,,,,,,,,,,0.205356385,,55393000,156163802.9,
23244,GMLJ.J,,,,,2015-12-31T00:00:00Z,-141445000,1,FY2015,12/31/15,USD,USD,,,,,,,,,,0.317779777,,-149056000,241656467.7,
23245,GMLJ.J,,,,,2016-12-31T00:00:00Z,50387000,1,FY2016,12/31/16,USD,USD,,,,,,,,,,0.225386489,,44499000,171395748.6,
23246,GMLJ.J,,,,,2017-12-31T00:00:00Z,81650000,1,FY2017,12/31/17,USD,USD,,,,,,,,,,0.116475894,,45040000,153089236.2,0.76927478
23247,GMLJ.J,,,,,2018-12-31T00:00:00Z,206090000,1,FY2018,12/31/18,USD,USD,,,,,,,,,,0.119419067,,-60431000,139848695.9,
23248,GMLJ.J,,,,,2019-12-31T00:00:00Z,216233000,1,FY2019,12/31/19,USD,USD,,,,,,,,,,0.085843164,0.016,39131000,99732019.03,
23249,GMLJ.J,,,,,2020-12-31T00:00:00Z,34567000,1,FY2020,12/31/20,USD,USD,,,,,,,,,,0.176482568,-0.059,-93227000,206392486.3,
23250,GMLJ.J,,,,,2021-12-31T00:00:00Z,257706000,1,FY2021,12/31/21,USD,USD,,,,,,,,,,0.226411987,0.042,64963000,274188207.1,3.538240154
23251,TREJ.J,JOHANNESBURG STOCK EXCHANGE,,Trencor Ltd,South Africa,1997-06-30T00:00:00Z,312181738,0.220555801,FY1997,6/30/97,USD,ZAR,Trencor Ltd,South Africa,Real Estate and Rental and Leasing,53,Rental and Leasing Services,532,,,4295888436,0.529691163,,54236656.37,80531432.39,
23252,TREJ.J,,,,,1998-06-30T00:00:00Z,259584422.1,0.167504188,FY1998,6/30/98,USD,ZAR,,,,,,,,,,0.235294295,,79222278.06,35962872.46,
23253,TREJ.J,,,,,1999-06-30T00:00:00Z,243584525.8,0.166389351,FY1999,6/30/99,USD,ZAR,,,,,,,,,,0.09608188,,5571547.421,14685355.55,
23254,TREJ.J,,,,,2000-06-30T00:00:00Z,262720147.6,0.147601476,FY2000,6/30/00,USD,ZAR,,,,,,,,,,0.066236186,,-17093726.94,10123677.48,
23255,TREJ.J,,,,,2000-06-30T00:00:00Z,262720147.6,0.147601476,FY2000,6/30/00,USD,ZAR,,,,,,,,,,0.109772188,,-17093726.94,16777800.75,0.537192594
23256,TREJ.J,,,,,2001-12-31T00:00:00Z,,,FY2001,12/31/01,USD,,,,,,,,,,,0.130403827,,,19957600.65,2.30799649
23257,TREJ.J,,-2.82,,,2002-12-31T00:00:00Z,68929198.36,0.117027501,FY2002,12/31/02,USD,ZAR,,,,,,,,,,0.196849901,,-34055002.93,30243938.49,
23258,TREJ.J,,-1.93,,,2003-12-31T00:00:00Z,109632958.8,0.149812734,FY2003,12/31/03,USD,ZAR,,,,,,,,,,0.33141099,,1243445.693,51047928.25,12.01125257
23259,TREJ.J,,1.212,,,2004-12-31T00:00:00Z,198560309.2,0.177301821,FY2004,12/31/04,USD,ZAR,,,,,,,,,,0.428892383,,39626956.97,66751662.88,1.310442753
23260,TREJ.J,,,,,2005-12-31T00:00:00Z,332873563.2,0.158541419,FY2005,12/31/05,USD,ZAR,,,,,,,,,,0.562094016,,98549346.02,89018667.95,2.000151279
23261,TREJ.J,,,,,2006-12-31T00:00:00Z,247439198.9,0.143061516,FY2006,12/31/06,USD,ZAR,,,,,,,,,,0.52733698,,91287553.65,98768049.97,1.943575689
23262,TREJ.J,,,,,2007-12-31T00:00:00Z,248230994.2,0.14619883,FY2007,12/31/07,USD,ZAR,,,,,,,,,,0.267467104,,120950292.4,50123038.9,0.628593273
23263,TREJ.J,,,,,2008-12-31T00:00:00Z,349470339,0.105932203,FY2008,12/31/08,USD,ZAR,,,,,,,,,,0.457584355,,105614406.8,85782831.94,1.41539495
23264,TREJ.J,,,,,2009-12-31T00:00:00Z,264952638.7,0.135317997,FY2009,12/31/09,USD,ZAR,,,,,,,,,,0.624633458,,90257104.19,117099342.1,2.277068675
