,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
417,ACLJ.J,,,,107,,,Growth
418,ACLJ.J,,,,107,,,Growth
419,ACLJ.J,,,,107,,,Sector Specific
420,ACLJ.J,,,,110,,,Specialty
421,ACLJ.J,,,,107,,,Growth
422,ACLJ.J,,,,107,,,Specialty
423,ACLJ.J,,,,107,,,Specialty
424,ACLJ.J,,,,107,,,Core Value
425,ACLJ.J,,,,107,,,
426,ACLJ.J,,,,107,,,
427,ACLJ.J,,,,107,,,
428,ACLJ.J,,,,107,,,
429,ACLJ.J,,,,107,,,
430,ACLJ.J,,,,107,,,
431,ACLJ.J,,,,113,,,
432,ACLJ.J,,,,107,,,
433,ACLJ.J,,,,110,,,
434,ACLJ.J,,,,101,,,
435,ACLJ.J,,,,113,,,
436,ACLJ.J,,,,107,,,
437,ACLJ.J,,,,107,,,
438,ACLJ.J,,,,113,,,
439,ACLJ.J,,,,113,,,
440,ACLJ.J,,,,107,,,
441,ACLJ.J,,,,107,,,Growth
442,ACLJ.J,,,,107,,,Emerg. Mkts.
443,ACLJ.J,,,,107,,,Core Value
444,ACLJ.J,,,,113,,,Emerg. Mkts.
445,ACLJ.J,,,,107,,,Growth
446,ACLJ.J,,,,107,,,Specialty
447,ACLJ.J,,,,107,,,Growth
448,ACLJ.J,,,,113,,,Emerg. Mkts.
449,ACLJ.J,,,,107,,,Emerg. Mkts.
450,ACLJ.J,,,,107,,,Emerg. Mkts.
451,ACLJ.J,,,,113,,,Growth
452,ACLJ.J,,,,107,,,Emerg. Mkts.
453,ACLJ.J,,,,107,,,Index
454,ACLJ.J,,,,113,,,Emerg. Mkts.
455,ACLJ.J,,,,113,,,GARP
456,ACLJ.J,,,,113,,,Emerg. Mkts.
457,ACLJ.J,,,,113,,,Sector Specific
458,ACLJ.J,,,,107,,,Emerg. Mkts.
459,ACLJ.J,,,,107,,,Emerg. Mkts.
460,ACLJ.J,,,,,,,Specialty
461,ACLJ.J,,,,,,,GARP
462,ACLJ.J,,,,,,,Specialty
463,ACLJ.J,,,,,,,Index
464,ACLJ.J,,,,,,,Specialty
465,ACLJ.J,,,,,,,Specialty
466,ACLJ.J,,,,,,,Emerg. Mkts.
467,ACLJ.J,,,,,,,Growth
468,ACLJ.J,,,,,,,Growth
469,ACLJ.J,,,,,,,Emerg. Mkts.
470,ACLJ.J,,,,,,,Emerg. Mkts.
471,ACLJ.J,,,,,,,Core Value
472,ACLJ.J,,,,,,,Emerg. Mkts.
473,ACLJ.J,,,,,,,Emerg. Mkts.
474,ACLJ.J,,,,,,,Core Growth
475,ACLJ.J,,,,,,,Emerg. Mkts.
476,ACLJ.J,,,,,,,Emerg. Mkts.
477,ACLJ.J,,,,,,,Core Value
478,ACLJ.J,,,,,,,Emerg. Mkts.
479,ACLJ.J,,,,,,,Hedge Fund
480,ACLJ.J,,,,,,,Specialty
481,ACLJ.J,,,,,,,GARP
482,ACLJ.J,,,,,,,Specialty
483,ACLJ.J,,,,,,,Emerg. Mkts.
484,ACLJ.J,,,,,,,Core Value
485,ACLJ.J,,,,,,,Emerg. Mkts.
486,ACLJ.J,,,,,,,Hedge Fund
487,ACLJ.J,,,,,,,Emerg. Mkts.
488,ACLJ.J,,,,,,,Emerg. Mkts.
489,ACLJ.J,,,,,,,Emerg. Mkts.
490,ACLJ.J,,,,,,,Emerg. Mkts.
491,ACLJ.J,,,,,,,Specialty
492,ACLJ.J,,,,,,,Specialty
493,ACLJ.J,,,,,,,
494,ACLJ.J,,,,,,,Emerg. Mkts.
495,ACLJ.J,,,,,,,Index
496,ACLJ.J,,,,,,,Emerg. Mkts.
497,ACLJ.J,,,,,,,International
498,ACLJ.J,,,,,,,Emerg. Mkts.
499,ACLJ.J,,,,,,,Sector Specific
500,ACLJ.J,,,,,,,Index
501,ACLJ.J,,,,,,,Emerg. Mkts.
502,ACLJ.J,,,,,,,Growth
503,ACLJ.J,,,,,,,Emerg. Mkts.
504,ACLJ.J,,,,,,,Index
505,ACLJ.J,,,,,,,Growth
506,ACLJ.J,,,,,,,Emerg. Mkts.
507,ACLJ.J,,,,,,,Core Value
508,ACLJ.J,,,,,,,Growth
509,ACLJ.J,,,,,,,Core Growth
510,ACLJ.J,,,,,,,Growth
511,ACLJ.J,,,,,,,GARP
512,ACLJ.J,,,,,,,Specialty
513,ACLJ.J,,,,,,,Emerg. Mkts.
514,ACLJ.J,,,,,,,Emerg. Mkts.
515,ACLJ.J,,,,,,,Index
516,ACLJ.J,,,,,,,Index
517,ACLJ.J,,,,,,,Emerg. Mkts.
518,ACLJ.J,,,,,,,Core Growth
519,ACLJ.J,,,,,,,Growth
520,ACLJ.J,,,,,,,GARP
521,ACLJ.J,,,,,,,Core Growth
522,ACLJ.J,,,,,,,Emerg. Mkts.
523,ACLJ.J,,,,,,,Core Value
524,ACLJ.J,,,,,,,Emerg. Mkts.
